court_num,circuit_num,end_year,start_year,judge_name,year,name_perm
1104,2,2014.0,1994.0,"Baer, Harold, Jr.",0,HAROLD  BAER
1095,4,2022.0,2007.0,"Bailey, John Preston",0,JOHN PRESTON BAILEY
1002,9,2005.0,1992.0,"Baird, Lourdes Gillespie",0,LOURDES GILLESPIE BAIRD
1003,7,2022.0,1979.0,"Baker, Harold Albert",0,HAROLD ALBERT BAKER
1057,8,2022.0,2012.0,"Baker, Kristine Gerhard",0,KRISTINE GERHARD BAKER
101,2,2022.0,2019.0,"Baker, M. Miller",0,M MILLER BAKER
1099,11,2022.0,2018.0,"Baker, R. Stan",0,R STAN BAKER
10,10,2022.0,1985.0,"Baldock, Bobby Ray",0,BOBBY RAY BALDOCK
1034,1,2022.0,1992.0,"Barbadoro, Paul J.",0,PAUL J BARBADORO
1077,11,2022.0,2019.0,"Barber, Thomas Patrick",0,THOMAS PATRICK BARBER
1061,5,2022.0,1998.0,"Barbier, Carl J.",0,CARL J BARBIER
1103,5,2021.0,1983.0,"Barbour, William Henry, Jr.",0,WILLIAM HENRY BARBOUR
1071,5,2022.0,2019.0,"Barker, J. Campbell",0,J CAMPBELL BARKER
1092,6,2022.0,2019.0,"Barker, Pamela Ann",0,PAMELA ANN BARKER
1101,7,2022.0,1984.0,"Barker, Sarah Evans",0,SARAH EVANS BARKER
11,11,2013.0,1994.0,"Barkett, Rosemary",0,ROSEMARY  BARKETT
5,5,2022.0,1990.0,"Barksdale, Rhesa Hawkins",0,RHESA HAWKINS BARKSDALE
1050,10,2022.0,2020.0,"Barlow, David Bruce",0,DAVID BRUCE BARLOW
1108,8,2019.0,1993.0,"Barnes, Harry F.",0,HARRY F BARNES
101,2,2022.0,2013.0,"Barnett, Mark Allen",0,MARK ALLEN BARNETT
7,7,2020.0,2017.0,"Barrett, Amy Coney",0,AMY CONEY BARRETT
99,99,2022.0,2020.0,"Barrett, Amy Coney",0,AMY CONEY BARRETT
10,10,2011.0,1971.0,"Barrett, James Emmett",0,JAMES EMMETT BARRETT
1105,6,2022.0,2006.0,"Barrett, Michael Ryan",0,MICHAEL RYAN BARRETT
1,1,2022.0,2014.0,"Barron, David Jeremiah",0,DAVID JEREMIAH BARRON
1035,3,1999.0,1983.0,"Barry, Maryanne Trump",0,MARYANNE TRUMP BARRY
3,3,2019.0,1999.0,"Barry, Maryanne Trump",0,MARYANNE TRUMP BARRY
1068,3,2022.0,1991.0,"Bartle, Harvey III",0,HARVEY  BARTLE
1112,8,2000.0,1981.0,"Bartlett, D. Brook",0,D BROOK BARTLETT
101,2,2022.0,1998.0,"Barzilay, Judith Morgenstern",0,JUDITH MORGENSTERN BARZILAY
1097,9,2022.0,2014.0,"Bashant, Cynthia Ann",0,CYNTHIA ANN BASHANT
1035,3,2006.0,1991.0,"Bassler, William G.",0,WILLIAM G BASSLER
1073,9,2022.0,2014.0,"Bastian, Stanley Allen",0,STANLEY ALLEN BASTIAN
1032,8,2022.0,1997.0,"Bataillon, Joseph F.",0,JOSEPH F BATAILLON
6,6,2022.0,1991.0,"Batchelder, Alice Moore",0,ALICE MOORE BATCHELDER
1010,12,2022.0,2001.0,"Bates, John D.",0,JOHN D BATES
1097,9,2022.0,2011.0,"Battaglia, Anthony Joseph",0,ANTHONY JOSEPH BATTAGLIA
1062,6,2022.0,2000.0,"Battani, Marianne O.",0,MARIANNE O BATTANI
1086,11,2022.0,2006.0,"Batten, Timothy C., Sr.",0,TIMOTHY C BATTEN
1047,8,2017.0,1985.0,"Battey, Richard Howard",0,RICHARD HOWARD BATTEY
1104,2,2020.0,1994.0,"Batts, Deborah A.",0,DEBORAH A BATTS
7,7,2022.0,1974.0,"Bauer, William Joseph",0,WILLIAM JOSEPH BAUER
1117,3,2022.0,2018.0,"Baxter, Susan Paradise",0,SUSAN PARADISE BAXTER
1068,3,2022.0,2002.0,"Baylson, Michael M.",0,MICHAEL M BAYLSON
9,9,2022.0,2003.0,"Bea, Carlos T.",0,CARLOS T BEA
8,8,2022.0,1987.0,"Beam, C[larence] Arlen",0,CLARENCE ARLEN BEAM
1109,6,2022.0,2020.0,"Beaton, Benjamin Joel",0,BENJAMIN JOEL BEATON
1100,7,2001.0,1979.0,"Beatty, William Louis",0,WILLIAM LOUIS BEATTY
1080,4,2018.0,1994.0,"Beaty, James A., Jr.",0,JAMES A BEATY
1096,11,2022.0,2018.0,"Beaverstock, Jeffrey Uhlman",0,JEFFREY UHLMAN BEAVERSTOCK
1068,3,2001.0,1972.0,"Bechtle, Louis Charles",0,LOUIS CHARLES BECHTLE
3,3,2006.0,1981.0,"Becker, Edward Roy",0,EDWARD ROY BECKER
1105,6,2022.0,1992.0,"Beckwith, Sandra Shank",0,SANDRA SHANK BECKWITH
1061,5,2018.0,1979.0,"Beer, Peter Hill",0,PETER HILL BEER
1068,3,2022.0,2014.0,"Beetlestone, Wendy",0,WENDY  BEETLESTONE
9,9,2012.0,1984.0,"Beezer, Robert R.",0,ROBERT R BEEZER
1005,9,2022.0,2002.0,"Beistline, Ralph R.",0,RALPH R BEISTLINE
1094,5,2001.0,1979.0,"Belew, David Owen, Jr.",0,DAVID OWEN BELEW
1115,4,2022.0,2019.0,"Bell, Kenneth Davis, Sr.",0,KENNETH DAVIS BELL
1111,6,2022.0,1987.0,"Bell, Robert Holmes",0,ROBERT HOLMES BELL
1092,6,2010.0,1982.0,"Bell, Samuel H.",0,SAMUEL H BELL
1041,9,1999.0,1967.0,"Belloni, Robert Clinton",0,ROBERT CLINTON BELLONI
1021,10,2022.0,1991.0,"Belot, Monti L.",0,MONTI L BELOT
5,5,2022.0,1994.0,"Benavides, Fortunato Pedro",0,FORTUNATO PEDRO BENAVIDES
1097,9,2022.0,2012.0,"Bencivengo, Cathy Ann",0,CATHY ANN BENCIVENGO
1097,9,2022.0,2004.0,"Benitez, Roger T.",0,ROGER T BENITEZ
1106,5,2022.0,2015.0,"Bennett, Alfred Homer",0,ALFRED HOMER BENNETT
13,13,2000.0,1982.0,"Bennett, Marion Tinsley",0,MARION TINSLEY BENNETT
9,9,2022.0,2018.0,"Bennett, Mark Jeremy",0,MARK JEREMY BENNETT
1089,8,2019.0,1994.0,"Bennett, Mark W.",0,MARK W BENNETT
1025,4,2022.0,2003.0,"Bennett, Richard D.",0,RICHARD D BENNETT
1050,10,2020.0,1991.0,"Benson, Dee Vance",0,DEE VANCE BENSON
1039,8,2004.0,1971.0,"Benson, Paul",0,PAUL  BENSON
8,8,2022.0,2004.0,"Benton, William Duane",0,WILLIAM DUANE BENTON
1062,6,2022.0,2012.0,"Berg, Terrence George",0,TERRENCE GEORGE BERG
1107,4,2022.0,2009.0,"Berger, Irene Cornelia",0,IRENE CORNELIA BERGER
1077,11,2022.0,2019.0,"Berger, Wendy Williams",0,WENDY WILLIAMS BERGER
1104,2,2022.0,1998.0,"Berman, Richard M.",0,RICHARD M BERMAN
1002,9,2022.0,2012.0,"Bernal, Jesus Gilberto",0,JESUS GILBERTO BERNAL
1061,5,2022.0,1994.0,"Berrigan, Helen Ginger",0,HELEN GINGER BERRIGAN
1060,6,2022.0,1979.0,"Bertelsman, William Odis",0,WILLIAM ODIS BERTELSMAN
9,9,2022.0,2000.0,"Berzon, Marsha Siegel",0,MARSHA SIEGEL BERZON
1044,1,2022.0,2006.0,"Besosa, Francisco Augusto",0,FRANCISCO AUGUSTO BESOSA
1065,2,2019.0,2006.0,"Bianco, Joseph Frank",0,JOSEPH FRANK BIANCO
2,2,2022.0,2019.0,"Bianco, Joseph Frank",0,JOSEPH FRANK BIANCO
3,3,2022.0,2017.0,"Bibas, Stephanos",0,STEPHANOS  BIBAS
1120,5,2022.0,1994.0,"Biery, Samuel Frederick, Jr.",0,SAMUEL FREDERICK BIERY
1090,5,2022.0,1984.0,"Biggers, Neal Brooks, Jr.",0,NEAL BROOKS BIGGERS
1080,4,2022.0,2014.0,"Biggs, Loretta Copeland",0,LORETTA COPELAND BIGGS
1051,1,2014.0,1984.0,"Billings, Franklin S., Jr.",0,FRANKLIN S BILLINGS
11,11,2010.0,1990.0,"Birch, Stanley F., Jr.",0,STANLEY F BIRCH
1002,9,2022.0,2014.0,"Birotte, Andre, Jr.",0,ANDRE  BIROTTE
1035,3,2005.0,1982.0,"Bissell, John Winslow",0,JOHN WINSLOW BISSELL
1117,3,2022.0,2011.0,"Bissoon, Cathy",0,CATHY  BISSOON
1036,10,2017.0,1995.0,"Black, Bruce D.",0,BRUCE D BLACK
11,11,2022.0,1992.0,"Black, Susan Harrell",0,SUSAN HARRELL BLACK
1105,6,2022.0,2010.0,"Black, Timothy Seymour",0,TIMOTHY SEYMOUR BLACK
1025,4,2014.0,1982.0,"Black, Walter Evan, Jr.",0,WALTER EVAN BLACK
1009,10,2022.0,2002.0,"Blackburn, Robert E.",0,ROBERT E BLACKBURN
1083,11,2022.0,1991.0,"Blackburn, Sharon Lovelace",0,SHARON LOVELACE BLACKBURN
99,99,1999.0,1970.0,"Blackmun, Harry Andrew",0,HARRY ANDREW BLACKMUN
1025,4,2022.0,1995.0,"Blake, Catherine C.",0,CATHERINE C BLAKE
1087,7,2022.0,2014.0,"Blakey, John Robert",0,JOHN ROBERT BLAKEY
1046,4,2016.0,1971.0,"Blatt, Solomon, Jr.",0,SOLOMON  BLATT
1117,3,2022.0,1979.0,"Bloch, Alan Neil",0,ALAN NEIL BLOCH
1065,2,2022.0,1994.0,"Block, Frederic",0,FREDERIC  BLOCK
1098,11,2022.0,2014.0,"Bloom, Beth Francine",0,BETH FRANCINE BLOOM
1002,9,2022.0,2020.0,"Blumenfeld, Stanley, Jr.",0,STANLEY  BLUMENFELD
1025,4,2022.0,2021.0,"Boardman, Deborah Lynn",0,DEBORAH LYNN BOARDMAN
1010,12,2022.0,2011.0,"Boasberg, James Emanuel",0,JAMES EMANUEL BOASBERG
6,6,2022.0,1986.0,"Boggs, Danny Julian",0,DANNY JULIAN BOGGS
1047,8,2009.0,1970.0,"Bogue, Andrew Wendell",0,ANDREW WENDELL BOGUE
1067,10,2003.0,1961.0,"Bohanon, Luther Lee",0,LUTHER LEE BOHANON
1093,10,2003.0,1961.0,"Bohanon, Luther Lee",0,LUTHER LEE BOHANON
1116,10,2003.0,1961.0,"Bohanon, Luther Lee",0,LUTHER LEE BOHANON
1012,2,2022.0,2014.0,"Bolden, Victor Allen",0,VICTOR ALLEN BOLDEN
1006,9,2022.0,2000.0,"Bolton, Susan Ritchie",0,SUSAN RITCHIE BOLTON
9,9,2011.0,1980.0,"Boochever, Robert",0,ROBERT  BOOCHEVER
1060,6,2022.0,2018.0,"Boom, Claria Horn",0,CLARIA HORN BOOM
1109,6,2022.0,2018.0,"Boom, Claria Horn",0,CLARIA HORN BOOM
1078,11,2005.0,1954.0,"Bootle, William Augustus",0,WILLIAM AUGUSTUS BOOTLE
1062,6,2022.0,1994.0,"Borman, Paul D.",0,PAUL D BORMAN
1,1,2022.0,1992.0,"Boudin, Michael",0,MICHAEL  BOUDIN
1112,8,2022.0,2014.0,"Bough, Stephen Rogers",0,STEPHEN ROGERS BOUGH
1086,11,2022.0,2019.0,"Boulee, Jean-Paul",0,JEAN-PAUL  BOULEE
1033,9,2022.0,2014.0,"Boulware, Richard Franklin II",0,RICHARD FRANKLIN BOULWARE
1083,11,2022.0,2001.0,"Bowdre, Karon O.",0,KARON O BOWDRE
1099,11,2022.0,1979.0,"Bowen, Dudley Hollingsworth, Jr.",0,DUDLEY HOLLINGSWORTH BOWEN
8,8,2022.0,1983.0,"Bowman, Pasco Middleton II",0,PASCO MIDDLETON BOWMAN
1,1,2003.0,1977.0,"Bownes, Hugh Henry",0,HUGH HENRY BOWNES
1092,6,2022.0,2005.0,"Boyko, Christopher A.",0,CHRISTOPHER A BOYKO
1061,5,2002.0,1966.0,"Boyle, Edward James, Sr.",0,EDWARD JAMES BOYLE
1045,1,2006.0,1977.0,"Boyle, Francis Joseph",0,FRANCIS JOSEPH BOYLE
1094,5,2022.0,2004.0,"Boyle, Jane J.",0,JANE J BOYLE
1066,4,2022.0,1984.0,"Boyle, Terrence William",0,TERRENCE WILLIAM BOYLE
